Wall time,Step,Value
1536137401.335764,0,99.8479995727539
1536137692.4985719,1,98.5541319847107
1536137983.2875237,2,91.43050359725952
1536138274.663918,3,82.97369094562531
1536138565.1158736,4,94.33989648170471
1536138856.318084,5,95.96250449427605
1536139146.7129798,6,69.38013139264108
1536139438.2137957,7,5.791102007015347
1536139727.2070885,8,-19.48526558884916
1536140018.7443807,9,-41.151819818911704
1536140309.8874643,10,-31.613557715042006
1536140599.7681975,11,-44.52673256813212
1536140890.9188225,12,-75.48458902189128
1536141182.6071444,13,-123.93100480843604
1536141470.389797,14,-127.54760062948421
1536141761.193257,15,-129.33506306495957
1536142052.7148201,16,-105.32853161642002
1536142343.3244886,17,-112.80193092459504
1536142632.5803149,18,-141.71752618778333
1536142924.6293867,19,-178.5131879230724
1536143213.138547,20,-215.7768718834102
1536143505.5290346,21,-232.0223392720591
1536143796.6938727,22,-283.18548792117537
1536144087.954517,23,-258.7508273930603
1536144376.3110704,24,-258.31941059526275
1536144668.8697214,25,-223.47633187137538
1536144959.119389,26,-228.38193406365656
1536145252.0346553,27,-256.54446499876775
1536145542.9744074,28,-297.3283144491889
1536145833.9640565,29,-365.03834047281936
1536146121.1600425,30,-457.5826679909818
1536146412.2480772,31,-540.8165503117211
1536146703.3878462,32,-651.5621947227778
1536146994.6392727,33,-715.2851480199903
1536147285.8233068,34,-805.1416582417825
1536147579.6743014,35,-805.8641467749538
1536147871.546494,36,-764.4726863511045
1536148161.037841,37,-696.4635083802129
1536148447.8311272,38,-610.4751696087386
1536148739.1569304,39,-573.6315016913508
1536149030.0407875,40,-487.58376390354056
1536149320.6394055,41,-529.0392488907539
1536149612.6454902,42,-589.9817860578954
1536149902.783881,43,-476.5106088495761
1536150196.3746502,44,-397.0005057164824
1536150396.2746956,45,-363.6982082347929
1536150558.4689977,46,-305.6175053289952
1536150720.432016,47,-274.04002830482165
1536150882.5202732,48,-287.5975259290678
1536151044.8963277,49,-311.844642300104
1536151207.0525331,50,-225.22607693451732
1536151369.219394,51,-141.65390981084383
1536151531.6509373,52,-125.93188897537233
1536151693.658617,53,1.9097960879882407
1536151855.9919388,54,124.3929647374148
1536152018.4067419,55,249.02944466482614
1536152184.2912753,56,369.0634977875061
1536152347.0749788,57,553.4729556046268
1536152509.91953,58,566.0138517241984
1536152672.7611942,59,564.2335877210359
1536152835.1585555,60,587.9463693489201
1536152998.0543194,61,504.5233115083923
1536153160.7965603,62,519.8331847456058
1536153323.547811,63,439.5372271734176
1536153486.4917085,64,370.77219198183406
1536153649.1422737,65,289.1893984904268
1536153812.0452895,66,251.12732898451395
1536153974.90331,67,216.51383809544092
1536154137.6648023,68,221.78469445761857
1536154300.5396295,69,177.3285556195313
1536154463.2454882,70,88.91062670604782
1536154630.0775754,71,107.51802731594069
1536154792.8831692,72,114.08245078972419
1536154955.6501815,73,104.9829059752791
1536155118.2848825,74,-17.910357118549186
1536155281.0482652,75,-236.2711247783645
1536155444.0705483,76,-423.10105769831256
1536155606.905643,77,-477.41183380211237
1536155769.7309449,78,-491.8761970378566
1536155932.433653,79,-393.624995069681
1536156095.2190373,80,-295.1709697669494
1536156258.1789646,81,-183.96552789437982
1536156420.9408505,82,-73.81133969865466
1536156584.012421,83,-16.51949353109947
1536156746.9426463,84,37.74572228821249
1536156909.6762254,85,-31.524458949151885
1536157072.376867,86,-185.22347131817548
1536157235.2452078,87,-349.83396982702783
1536157397.8339233,88,-565.4276046240528
1536157560.5539572,89,-779.1754813571526
1536157727.8502111,90,-955.6288023516888
1536157890.867217,91,-939.4059055056213
1536158053.6198697,92,-770.7612511771255
1536158216.3864176,93,-593.6082972725538
1536158379.2388587,94,-532.0395423402503
1536158541.8433332,95,-461.8407540056662
1536158704.7399855,96,-359.299838656784
1536158867.622227,97,-239.85231456027785
1536159030.359903,98,-117.52726369338006
1536159193.0118675,99,-101.90485219800902
